City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Dudinka,RU,69.4058,86.1778,-11.43,98,72,10.42,broken clouds
80,Porto Novo,BJ,6.4965,2.6036,82.4,83,20,9.22,few clouds
81,Saldanha,ZA,-33.0117,17.9442,68.0,52,100,3.44,overcast clouds
82,Kaseda,JP,31.4167,130.3167,50.0,100,75,5.75,fog
83,Kharan,PK,28.5833,65.4167,77.11,13,82,8.01,broken clouds
84,Carnarvon,AU,-24.8667,113.6333,71.6,94,40,5.75,scattered clouds
85,Upernavik,GL,72.7868,-56.1549,-23.87,79,23,4.5,few clouds
86,Malakal,SS,9.5334,31.6605,83.64,16,0,11.12,clear sky
87,Umm Lajj,SA,25.0213,37.2685,71.49,53,9,14.63,clear sky
88,Katsuura,JP,35.1333,140.3,62.01,88,75,3.44,broken clouds
89,Guerrero Negro,MX,27.9769,-114.0611,80.2,24,16,13.24,few clouds
90,Xai-Xai,MZ,-25.0519,33.6442,71.28,78,25,11.97,light rain
91,Avarua,CK,-21.2078,-159.775,82.4,78,75,20.71,broken clouds
92,Qui Nhon,VN,13.7667,109.2333,73.81,88,99,4.61,overcast clouds
93,Bethel,US,41.3712,-73.414,57.0,97,100,1.01,overcast clouds
94,Pisco,PE,-13.7,-76.2167,73.4,68,0,21.85,clear sky
95,Clyde River,CA,70.4692,-68.5914,-4.0,77,90,10.36,overcast clouds
96,Okhotsk,RU,59.3833,143.3,9.21,83,65,8.68,broken clouds
97,Butaritari,KI,3.0707,172.7902,81.5,76,84,14.16,light rain
98,Mbanza-Ngungu,CD,-5.25,14.8667,68.52,95,99,2.93,overcast clouds
99,Tufanganj,IN,26.3167,89.6667,70.27,19,0,5.23,clear sky
100,Mitsamiouli,KM,-11.3847,43.2844,82.63,70,58,5.64,broken clouds
101,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,100,11.5,overcast clouds
102,Barrow,US,71.2906,-156.7887,-16.6,69,20,12.66,haze
103,Port Hedland,AU,-20.3167,118.5667,78.8,69,24,9.01,few clouds
104,Rio Grande,BR,-32.035,-52.0986,68.0,93,44,10.83,light rain
105,Souillac,MU,-20.5167,57.5167,75.2,88,20,6.91,few clouds
106,Santa Maria,BR,-29.6842,-53.8069,73.4,73,75,9.22,broken clouds
107,Cherdyn,RU,60.403,56.4787,31.57,84,100,7.65,overcast clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,90,13.8,snow
109,Labuhan,ID,-6.8844,112.2051,77.2,87,88,5.46,overcast clouds
110,Ponta Delgada,PT,37.7333,-25.6667,59.0,77,75,9.22,broken clouds
111,Lebu,CL,-37.6167,-73.65,56.91,91,0,11.65,clear sky
112,Itoman,JP,26.1247,127.6694,71.6,94,75,1.14,broken clouds
113,Coahuayana,MX,18.7333,-103.6833,82.4,47,75,13.8,broken clouds
114,Birin,NP,26.8865,88.0718,56.75,19,1,6.69,clear sky
115,Barra Do Garcas,BR,-15.89,-52.2567,75.78,65,3,0.87,clear sky
116,Ambilobe,MG,-13.2,49.05,74.59,95,83,1.61,light rain
117,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,39,79,6.71,broken clouds
118,Kaitangata,NZ,-46.2817,169.8464,64.96,64,49,4.54,scattered clouds
119,Chokurdakh,RU,70.6333,147.9167,-6.99,99,98,5.21,overcast clouds
120,Dehra Dun,IN,30.3167,78.0333,71.24,26,75,6.22,broken clouds
121,Tukums,LV,56.9669,23.1553,35.6,80,40,8.05,scattered clouds
122,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,83,0,8.05,clear sky
123,Wiang Sa,TH,8.6359,99.3666,80.01,94,40,2.3,scattered clouds
124,Cockburn Town,TC,21.4612,-71.1419,78.8,73,40,19.57,scattered clouds
125,Ariogala,LT,55.2667,23.4667,33.8,93,19,1.14,mist
126,Kavieng,PG,-2.5744,150.7967,84.67,70,92,13.96,light rain
127,Troitsko-Pechorsk,RU,62.7084,56.1964,29.41,96,100,6.06,light snow
128,Asau,RO,46.4333,26.4,37.0,50,96,4.36,overcast clouds
129,Mount Gambier,AU,-37.8333,140.7667,59.0,94,90,2.8,overcast clouds
130,Trujillo,PE,-8.116,-79.03,71.6,83,20,10.36,fog
131,Bathsheba,BB,13.2167,-59.5167,77.0,69,40,20.71,scattered clouds
132,Honiara,SB,-9.4333,159.95,86.32,62,29,6.44,scattered clouds
133,Cotonou,BJ,6.3654,2.4183,82.4,83,20,9.22,few clouds
134,Angoche,MZ,-16.2325,39.9086,76.87,86,100,7.56,moderate rain
135,Port Moresby,PG,-9.4431,147.1797,84.2,74,20,5.75,few clouds
136,Narsaq,GL,60.9167,-46.05,21.2,63,0,5.75,clear sky
137,Sao Filipe,CV,14.8961,-24.4956,69.96,73,58,16.82,broken clouds
138,Hutchinson,US,38.0608,-97.9298,69.8,23,1,13.8,clear sky
139,Lavrentiya,RU,65.5833,-171.0,11.37,93,100,19.64,light snow
140,Ponta Do Sol,PT,32.6667,-17.1,62.6,77,20,11.5,few clouds
141,Ha Tinh,VN,18.3333,105.9,73.62,96,76,2.26,broken clouds
142,Georgetown,MY,5.4112,100.3354,80.01,94,20,1.14,few clouds
143,Saskylakh,RU,71.9167,114.0833,-4.13,99,98,2.91,overcast clouds
144,Beyneu,KZ,45.3167,55.2,39.85,81,99,7.76,overcast clouds
145,Coihaique,CL,-45.5752,-72.0662,60.8,67,40,3.44,scattered clouds
146,Zhicheng,CN,30.2956,111.5047,62.01,91,0,3.4,light rain
147,Half Moon Bay,US,37.4636,-122.4286,73.99,82,1,13.8,mist
148,Haines Junction,CA,60.7522,-137.5108,24.8,24,10,6.91,clear sky
149,Oyama,JP,36.3,139.8,62.01,94,75,4.61,broken clouds
150,Prince Rupert,CA,54.3161,-130.3201,42.8,56,75,14.97,broken clouds
151,Esna,EG,25.2934,32.554,64.4,36,0,2.3,clear sky
152,Sattahip,TH,12.6664,100.9007,87.01,83,20,6.91,few clouds
153,Srednekolymsk,RU,67.45,153.6833,-0.47,93,100,4.88,overcast clouds
154,Nikolskoye,RU,59.7035,30.7861,39.99,87,0,2.24,light rain
155,Lufilufi,WS,-13.8745,-171.5986,87.8,74,40,16.11,light rain
156,Werda,BW,-25.2667,23.2833,72.95,30,38,5.95,scattered clouds
157,Luderitz,NA,-26.6481,15.1594,61.84,83,0,3.67,clear sky
158,Aksu,CN,41.1231,80.2644,54.14,44,100,1.74,overcast clouds
159,Ushtobe,KZ,45.2514,77.9838,45.54,70,100,1.23,overcast clouds
160,Alihe,CN,50.5667,123.7167,34.54,98,100,5.08,light snow
161,Cordoba,AR,-31.4135,-64.1811,66.99,63,0,5.75,clear sky
162,Zhangjiakou,CN,40.81,114.8794,37.13,25,93,4.41,overcast clouds
163,Chapais,CA,49.7834,-74.8492,30.2,93,90,8.05,snow
164,Herouville-Saint-Clair,FR,49.2109,-0.3065,50.0,71,0,6.91,clear sky
165,Mackay,AU,-21.15,149.2,81.0,78,75,5.75,broken clouds
166,Sheltozero,RU,61.3667,35.3667,35.01,95,95,9.6,overcast clouds
167,Oktyabrskoye,RU,43.0645,44.7417,39.2,93,100,8.95,overcast clouds
168,Jega,NG,12.2175,4.3792,78.84,14,0,10.83,clear sky
169,Hofn,IS,64.2539,-15.2082,28.2,61,33,8.68,scattered clouds
170,Chimbote,PE,-9.0853,-78.5783,71.78,79,100,8.28,overcast clouds
171,Pacific Grove,US,36.6177,-121.9166,69.01,55,1,6.91,clear sky
172,Abancay,PE,-13.6339,-72.8814,60.82,88,87,5.19,overcast clouds
173,Mansa,IN,29.9833,75.3833,74.93,23,76,8.68,broken clouds
174,Bintulu,MY,3.1667,113.0333,77.0,100,40,3.18,scattered clouds
175,Lompoc,US,34.6391,-120.4579,70.0,67,1,16.11,clear sky
176,San Cristobal,VE,7.7669,-72.225,78.8,73,40,9.22,scattered clouds
177,Bara,NG,10.3744,10.7288,79.61,17,0,14.18,clear sky
178,Guiratinga,BR,-16.3494,-53.7583,73.67,60,0,4.47,clear sky
179,Sampit,ID,-2.5333,112.95,74.1,97,100,0.72,moderate rain
180,Khatanga,RU,71.9667,102.5,-3.96,98,100,6.87,overcast clouds
181,Ballina,AU,-28.8667,153.5667,71.6,78,3,9.22,clear sky
182,Catamarca,AR,-28.4696,-65.7852,62.01,74,8,2.98,clear sky
183,College,US,64.8569,-147.8028,18.0,57,75,4.61,broken clouds
184,Helena,US,46.5927,-112.0361,69.8,12,1,24.16,clear sky
185,Salinopolis,BR,-0.6136,-47.3561,77.81,87,55,9.6,broken clouds
186,Levelland,US,33.5873,-102.378,71.01,19,1,6.91,clear sky
187,Kidal,ML,18.4411,1.4078,73.53,10,0,11.59,clear sky
188,Harper,LR,4.375,-7.7169,78.78,87,70,4.65,broken clouds
189,Homer,US,59.6425,-151.5483,35.6,51,75,2.95,broken clouds
190,Chuy,UY,-33.6971,-53.4616,64.31,91,54,5.19,broken clouds
191,Yeppoon,AU,-23.1333,150.7333,78.8,69,43,8.05,scattered clouds
192,Te Anau,NZ,-45.4167,167.7167,59.9,83,91,4.38,overcast clouds
193,Pietarsaari,FI,63.65,22.6833,37.4,75,40,11.5,scattered clouds
194,Kralendijk,BQ,12.15,-68.2667,80.6,74,75,18.41,broken clouds
195,Hongjiang,CN,27.11,109.9956,68.58,90,99,2.59,overcast clouds
196,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,77,40,17.96,scattered clouds
197,Tingi,TZ,-11.3,35.0333,62.53,91,100,0.4,overcast clouds
198,Looc,PH,12.2605,121.9926,79.97,80,100,3.38,overcast clouds
199,Qaanaaq,GL,77.484,-69.3632,-20.13,77,66,6.02,broken clouds
200,Tyup,KG,42.7276,78.3648,37.62,74,100,4.47,overcast clouds
201,Boca Do Acre,BR,-8.7522,-67.3978,73.27,98,100,0.6,overcast clouds
202,Obuasi,GH,6.206,-1.6619,74.66,87,28,2.48,scattered clouds
203,Acarau,BR,-2.8856,-40.12,77.63,82,10,5.95,clear sky
204,Tiksi,RU,71.6872,128.8694,3.67,95,100,1.74,overcast clouds
205,Tuatapere,NZ,-46.1333,167.6833,59.0,98,78,8.99,broken clouds
206,Faanui,PF,-16.4833,-151.75,82.4,73,50,20.83,light rain
207,Balabac,PH,7.9868,117.0645,80.65,79,41,1.99,scattered clouds
208,Port Alfred,ZA,-33.5906,26.891,65.37,78,100,19.57,overcast clouds
209,Njombe,TZ,-9.3333,34.7667,53.53,92,79,3.56,broken clouds
210,Felnac,RO,46.1167,21.15,37.4,60,0,3.44,clear sky
211,Heilbron,ZA,-27.2812,27.9709,54.55,75,76,15.99,broken clouds
212,Ahuimanu,US,21.4447,-157.8378,80.6,47,75,17.27,broken clouds
213,Kovdor,RU,67.5662,30.4758,35.26,96,100,8.12,overcast clouds
214,Kachug,RU,53.9606,105.8817,12.7,97,95,0.89,overcast clouds
215,Vila Velha,BR,-20.3297,-40.2925,77.0,83,0,3.44,clear sky
216,Acajutla,SV,13.5928,-89.8275,82.99,64,8,1.99,clear sky
217,Bartica,GY,6.4,-58.6167,75.2,94,90,13.8,overcast clouds
218,Ixtapa,MX,20.7,-105.2,77.0,65,40,13.8,scattered clouds
219,Hamilton,US,39.1834,-84.5333,46.4,49,90,14.97,overcast clouds
220,Samarai,PG,-10.6167,150.6667,83.41,77,91,11.48,overcast clouds
221,Aswan,EG,24.0934,32.907,63.57,25,0,16.22,clear sky
222,Komsomolskiy,UZ,40.4272,71.7189,50.0,71,75,23.02,heavy intensity rain
223,Batagay,RU,67.6333,134.6333,3.58,96,100,2.19,overcast clouds
224,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,40,10.36,scattered clouds
225,Tautira,PF,-17.7333,-149.15,89.6,55,40,8.05,light rain
226,Kelvington,CA,52.1667,-103.5343,59.0,33,56,11.5,broken clouds
227,Port-Cartier,CA,50.0334,-66.8654,28.99,93,90,18.41,snow
228,Gat,IL,31.61,34.7642,54.0,66,1,4.68,clear sky
229,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,77,75,9.22,broken clouds
230,Praia Grande,BR,-24.0058,-46.4028,84.0,26,52,1.72,broken clouds
231,Cidreira,BR,-30.1811,-50.2056,73.58,82,36,6.17,scattered clouds
232,Constantine,DZ,36.365,6.6147,53.6,76,0,4.61,clear sky
233,Vilhena,BR,-12.7406,-60.1458,80.6,69,40,4.61,scattered clouds
234,Aripuana,BR,-9.1667,-60.6333,74.03,96,76,1.1,broken clouds
235,Leh,IN,34.1667,77.5833,35.53,81,100,8.57,overcast clouds
236,Grand-Santi,GF,4.25,-54.3833,73.02,98,96,3.06,heavy intensity rain
237,Provideniya,RU,64.3833,-173.3,15.12,88,100,21.7,light snow
238,Jinxiang,CN,27.4327,120.6062,59.45,87,7,1.1,clear sky
239,Gamba,GA,-2.65,10.0,76.51,91,100,6.11,light rain
240,Touros,BR,-5.1989,-35.4608,80.6,83,20,5.75,few clouds
241,Lebork,PL,54.5392,17.7501,45.0,75,75,11.5,light rain
242,Saint-Ambroise,CA,48.5501,-71.3324,35.01,93,90,13.8,snow
243,Searcy,US,35.2506,-91.7363,64.0,45,1,6.91,clear sky
244,Kavaratti,IN,10.5669,72.642,83.08,71,100,2.68,overcast clouds
245,Grand Gaube,MU,-20.0064,57.6608,77.0,81,3,3.0,clear sky
246,Avera,US,33.194,-82.5271,64.4,85,90,8.05,overcast clouds
247,Bubaque,GW,11.2833,-15.8333,75.67,73,0,17.6,clear sky
248,Marienburg,PL,54.0359,19.0266,45.0,62,93,11.36,light rain
249,Roros,NO,62.5747,11.3842,26.6,86,75,2.3,broken clouds
250,Ancud,CL,-41.8697,-73.8203,68.0,60,0,14.97,clear sky
251,Evensk,RU,61.95,159.2333,-0.69,91,93,1.92,overcast clouds
252,Yagodnoye,RU,62.55,149.6667,5.5,81,100,2.42,overcast clouds
253,Bruck An Der Leitha,AT,48.0167,16.7667,42.01,81,0,4.61,clear sky
254,Longyearbyen,SJ,78.2186,15.6401,28.4,80,20,11.5,few clouds
255,Ondjiva,AO,-17.0667,15.7333,70.27,62,92,7.29,overcast clouds
256,Pahrump,US,36.2083,-115.9839,79.0,9,0,1.99,clear sky
257,Bandarbeyla,SO,9.4942,50.8122,76.64,73,26,4.36,scattered clouds
258,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,20,6.91,few clouds
259,Wundanyi,KE,-3.4019,38.364,62.2,79,100,2.53,light rain
260,Lasa,IT,46.6166,10.7002,46.99,64,0,5.75,clear sky
261,Nouadhibou,MR,20.931,-17.0347,64.4,88,0,16.11,clear sky
262,Thaton,MM,16.9206,97.3714,77.38,72,28,3.04,scattered clouds
263,Bilma,NE,18.6853,12.9164,70.23,15,0,5.46,clear sky
264,Sovetskiy,RU,61.3614,63.5842,15.17,96,67,6.26,broken clouds
265,Yulara,AU,-25.2406,130.9889,71.6,56,0,8.05,clear sky
266,Marzuq,YE,14.4,46.4667,64.26,30,1,5.3,clear sky
267,Abalak,RU,58.1286,68.5944,18.28,96,97,2.93,light snow
268,Adrar,MR,20.5022,-10.0711,80.51,8,82,9.37,broken clouds
269,Gladstone,AU,-23.85,151.25,80.6,57,10,8.05,clear sky
270,Placetas,CU,22.3119,-79.6533,84.2,58,20,17.27,heavy intensity rain
271,Fort Nelson,CA,58.8053,-122.7002,12.2,85,90,16.11,snow
272,Shancheng,CN,34.7953,116.0817,52.68,46,39,10.98,scattered clouds
273,Mahanoro,MG,-19.9,48.8,74.28,91,65,4.09,broken clouds
274,Hope,US,33.6671,-93.5916,68.0,16,0,1.99,clear sky
275,Myskhako,RU,44.6714,37.7433,39.2,87,11,8.95,few clouds
276,Huarmey,PE,-10.0681,-78.1522,72.21,80,100,9.35,overcast clouds
277,Shakawe,BW,-18.3667,21.85,66.24,79,11,1.72,few clouds
278,Caravelas,BR,-17.7125,-39.2481,78.04,75,0,7.4,clear sky
279,Bay Roberts,CA,47.5999,-53.2648,28.0,74,75,4.61,broken clouds
280,Khorixas,NA,-20.3667,14.9667,72.97,42,85,4.72,overcast clouds
281,Parabel,RU,58.6978,81.4825,20.16,94,100,8.5,overcast clouds
282,Kokkola,FI,63.8385,23.1307,37.4,75,40,11.5,scattered clouds
283,Krasnaya Gora,RU,52.9995,31.6023,42.8,93,90,8.95,light rain
284,Fare,PF,-16.7,-151.0167,82.33,73,19,21.36,few clouds
285,Pottstown,US,40.2454,-75.6496,57.99,94,90,13.8,heavy intensity rain
286,Cap Malheureux,MU,-19.9842,57.6142,77.0,80,3,1.01,clear sky
287,Khatassy,RU,61.9036,129.6383,-2.2,78,40,2.24,scattered clouds
288,Olafsvik,IS,64.8945,-23.7142,28.6,65,100,13.58,overcast clouds
289,Kutum,SD,14.2,24.6667,63.41,13,2,13.89,clear sky
290,Lata,PT,40.1629,-8.3327,57.2,62,0,3.67,clear sky
291,Luoyang,CN,34.6836,112.4536,61.0,99,93,14.07,light rain
292,Marawi,PH,7.9986,124.2928,75.99,91,97,5.01,overcast clouds
293,Dubti,ET,11.7361,41.0853,80.8,30,12,5.53,few clouds
294,Kruisfontein,ZA,-34.0033,24.7314,63.0,75,92,4.0,overcast clouds
295,Anadyr,RU,64.75,177.4833,12.2,79,40,29.08,snow
296,Havelock,US,34.8791,-76.9013,71.01,78,100,8.01,overcast clouds
297,Fukue,JP,32.6881,128.8419,61.11,76,0,9.89,clear sky
298,Poum,NC,-20.2333,164.0167,80.69,74,13,6.49,few clouds
299,Kannangad,IN,12.3081,75.1063,79.92,86,97,0.63,heavy intensity rain
300,Constitucion,CL,-35.3333,-72.4167,58.12,67,0,0.85,clear sky
301,Bentiu,SS,9.2333,29.8333,82.04,16,0,7.87,clear sky
302,At-Bashi,KG,41.1702,75.8106,36.19,93,100,1.36,overcast clouds
303,Uniao,BR,-4.5858,-42.8642,82.4,78,40,3.36,scattered clouds
304,Bend,US,44.0582,-121.3153,64.4,20,1,23.02,clear sky
305,Peto,MX,20.1333,-88.9167,92.97,35,0,8.57,clear sky
306,Bonthe,SL,7.5264,-12.505,78.93,87,55,4.94,broken clouds
307,Lagos,NG,6.5833,3.75,82.4,83,0,2.3,clear sky
308,Yar-Sale,RU,66.8333,70.8333,-16.67,99,13,7.85,few clouds
309,Richards Bay,ZA,-28.783,32.0377,66.99,78,81,3.74,broken clouds
310,Mwinilunga,ZM,-11.7358,24.4293,60.12,97,94,2.82,overcast clouds
311,Mocuba,MZ,-16.8392,36.9856,69.64,98,91,3.6,light rain
312,Kodiak,US,57.79,-152.4072,42.8,26,1,5.75,clear sky
313,Manzhouli,CN,49.6,117.4333,26.29,63,3,16.73,clear sky
314,Daru,PG,-9.0763,143.2092,80.98,87,100,11.54,overcast clouds
315,Dumka,IN,24.2667,87.25,76.19,21,0,4.09,clear sky
316,Mpulungu,ZM,-8.7623,31.1141,71.44,71,96,4.23,overcast clouds
317,Suntar,RU,62.1444,117.6319,7.99,97,85,3.47,overcast clouds
318,Sitka,US,57.0531,-135.33,39.2,60,20,18.41,few clouds
319,Franklin Park,US,41.9353,-87.8656,46.99,31,40,20.71,scattered clouds
320,Madarounfa,NE,13.3087,7.156,73.69,15,0,10.87,clear sky
321,Little Current,CA,45.9793,-81.9248,33.8,86,100,13.8,light snow
322,Kananga,CD,-5.8958,22.4178,69.87,87,71,0.72,light rain
323,Kismayo,SO,-0.3582,42.5454,79.9,78,100,12.19,overcast clouds
324,Allada,BJ,6.6655,2.1514,82.4,83,20,9.22,few clouds
325,Eureka,US,40.8021,-124.1637,57.99,70,3,5.01,clear sky
326,Praia,CV,14.9215,-23.5087,68.0,77,75,24.16,broken clouds
327,Sarangani,PH,5.4033,125.4636,80.74,76,99,2.26,overcast clouds
328,Andenes,NO,69.3143,16.1194,33.8,75,96,6.91,overcast clouds
329,Sioux Lookout,CA,50.1001,-91.917,33.8,29,75,8.05,broken clouds
330,Ossora,RU,59.2353,163.0719,13.35,69,38,3.98,scattered clouds
331,Perth,AU,-31.9333,115.8333,68.0,59,0,3.44,clear sky
332,Eenhana,NA,-17.4667,16.3333,68.63,64,87,6.71,overcast clouds
333,Dasoguz,TM,41.8363,59.9666,42.8,65,0,6.91,clear sky
334,Merauke,ID,-8.4667,140.3333,77.68,92,100,9.53,light rain
335,Mount Isa,AU,-20.7333,139.5,77.0,29,2,17.27,clear sky
336,Balkanabat,TM,39.5108,54.3671,45.28,61,0,5.3,clear sky
337,Salalah,OM,17.0151,54.0924,77.0,53,0,3.44,clear sky
338,Jumla,NP,29.2747,82.1838,44.58,62,68,3.74,broken clouds
339,Yinchuan,CN,38.4681,106.2731,45.0,15,2,7.27,clear sky
340,Jinchang,CN,38.4953,102.1739,39.42,39,17,1.48,few clouds
341,Sur,OM,22.5667,59.5289,83.07,37,92,6.91,overcast clouds
342,Ayorou,NE,14.7308,0.9174,77.32,10,0,9.69,clear sky
343,Zhuhai,CN,22.2769,113.5678,75.99,100,40,5.75,scattered clouds
344,Benjamin Constant,BR,-4.3831,-70.0311,78.8,89,40,3.44,light rain
345,Valle De Allende,MX,26.9333,-105.4,71.2,19,4,10.56,clear sky
346,Sinnamary,GF,5.3833,-52.95,77.86,83,98,13.89,overcast clouds
347,Saint-Joseph,RE,-21.3667,55.6167,77.0,78,0,6.91,clear sky
348,Hasaki,JP,35.7333,140.8333,61.0,94,75,3.44,broken clouds
349,Atasu,KZ,48.6814,71.6433,23.67,91,97,12.17,overcast clouds
