City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cabo San Lucas,MX,2021-03-27 18:53:09,22.8909,-109.9124,79.0,60,1,6.89
68,Ola,RU,2021-03-27 18:53:10,59.5833,151.2833,-6.65,98,97,4.97
69,Ust-Maya,RU,2021-03-27 18:53:11,60.4167,134.5333,21.99,96,100,3.8
70,Barrow,US,2021-03-27 18:49:08,71.2906,-156.7887,-16.6,91,1,3.44
71,Sitka,US,2021-03-27 18:53:13,57.0531,-135.33,33.8,93,90,9.22
72,Saint-Philippe,RE,2021-03-27 18:53:13,-21.3585,55.7679,77.0,94,90,3.44
73,Yichun,CN,2021-03-27 18:53:15,47.7,128.9,27.34,94,11,3.38
74,East London,ZA,2021-03-27 18:49:24,-33.0153,27.9116,66.2,68,0,13.8
75,Yakeshi,CN,2021-03-27 18:53:16,49.2833,120.7333,36.46,64,12,20.33
76,Arraial Do Cabo,BR,2021-03-27 18:53:17,-22.9661,-42.0278,93.2,70,0,16.11
77,Caravelas,BR,2021-03-27 18:53:17,-17.7125,-39.2481,83.07,58,0,8.77
78,Hilo,US,2021-03-27 18:53:17,19.7297,-155.09,73.4,60,40,5.75
79,Uruzgan,AF,2021-03-27 18:51:06,32.8333,66.0,64.49,34,0,2.95
80,Erenhot,CN,2021-03-27 18:53:18,43.6475,111.9767,32.31,40,4,24.32
81,Shiyan,CN,2021-03-27 18:53:18,32.6475,110.7781,57.74,52,0,4.68
82,Husavik,IS,2021-03-27 18:53:18,66.0449,-17.3389,19.4,45,0,9.22
83,Hambantota,LK,2021-03-27 18:51:06,6.1241,81.1185,77.0,100,75,2.3
84,Rikitea,PF,2021-03-27 18:53:19,-23.1203,-134.9692,79.02,72,7,20.02
85,Rio Grande,BR,2021-03-27 18:51:24,-32.035,-52.0986,80.6,65,40,8.05
86,Gimli,CA,2021-03-27 18:53:21,50.6336,-96.9907,33.8,64,99,6.58
87,Vardo,NO,2021-03-27 18:53:21,70.3705,31.1107,37.11,93,100,24.16
88,Salinopolis,BR,2021-03-27 18:53:21,-0.6136,-47.3561,80.35,78,91,8.28
89,Burayevo,RU,2021-03-27 18:53:21,55.8407,55.4083,31.93,86,100,13.31
90,Saint-Francois,FR,2021-03-27 18:53:22,46.4154,3.9054,46.4,61,0,3.44
91,La Tuque,CA,2021-03-27 18:53:22,47.4334,-72.7824,33.8,93,100,6.91
92,Porto Murtinho,BR,2021-03-27 18:53:22,-21.6989,-57.8825,93.74,37,97,9.6
93,Tiksi,RU,2021-03-27 18:53:23,71.6872,128.8694,5.85,98,100,2.01
94,Cape Town,ZA,2021-03-27 18:53:23,-33.9258,18.4232,64.0,67,0,14.97
95,Leningradskiy,RU,2021-03-27 18:53:25,69.3833,178.4167,-17.39,91,48,7.36
96,Mataura,NZ,2021-03-27 18:49:10,-46.1927,168.8643,55.99,94,100,1.01
97,Faanui,PF,2021-03-27 18:53:26,-16.4833,-151.75,82.96,72,14,22.24
98,Udobnaya,RU,2021-03-27 18:53:27,44.1932,41.5529,38.8,79,98,6.8
99,Mount Gambier,AU,2021-03-27 18:53:28,-37.8333,140.7667,51.8,93,40,8.05
100,Saskylakh,RU,2021-03-27 18:53:29,71.9167,114.0833,-13.67,100,100,1.07
101,Vaini,TO,2021-03-27 18:49:06,-21.2,-175.2,78.8,94,20,8.05
102,Lebu,CL,2021-03-27 18:53:31,-37.6167,-73.65,60.44,70,39,19.22
103,Mahebourg,MU,2021-03-27 18:49:08,-20.4081,57.7,75.2,94,75,6.91
104,Port Hedland,AU,2021-03-27 18:53:33,-20.3167,118.5667,78.8,94,8,6.91
105,Ouesso,CG,2021-03-27 18:53:34,1.6136,16.0517,78.46,60,29,1.57
106,Fare,PF,2021-03-27 18:53:35,-16.7,-151.0167,82.35,73,17,23.11
107,Punta Arenas,CL,2021-03-27 18:53:37,-53.15,-70.9167,66.2,48,40,20.71
108,Provideniya,RU,2021-03-27 18:50:53,64.3833,-173.3,-3.35,100,100,4.05
109,Talnakh,RU,2021-03-27 18:53:39,69.4865,88.3972,2.55,97,88,1.74
110,Padang,ID,2021-03-27 18:50:13,-0.9492,100.3543,78.8,94,75,2.3
111,Iqaluit,CA,2021-03-27 18:53:41,63.7506,-68.5145,-9.4,70,40,3.44
112,Kropotkin,RU,2021-03-27 18:53:42,45.4375,40.5756,41.0,77,76,9.46
113,Airai,TL,2021-03-27 18:53:43,-8.9266,125.4092,59.65,93,100,1.99
114,Magura,RO,2021-03-27 18:53:43,45.2667,26.5833,44.01,66,3,5.01
115,Bengkulu,ID,2021-03-27 18:49:21,-3.8004,102.2655,75.33,91,100,8.16
116,Haapiti,PF,2021-03-27 18:53:46,-17.5667,-149.8667,80.6,74,75,2.3
117,Norway,US,2021-03-27 18:53:47,45.7869,-87.9037,35.6,80,90,5.75
118,Huarmey,PE,2021-03-27 18:53:48,-10.0681,-78.1522,74.98,73,65,8.93
119,Matara,LK,2021-03-27 18:49:14,5.9485,80.5353,77.54,79,100,1.14
120,Inuvik,CA,2021-03-27 18:53:51,68.3499,-133.7218,-11.2,77,97,1.14
121,Juneau,US,2021-03-27 18:53:52,58.3019,-134.4197,33.8,86,90,8.05
122,Kachiry,KZ,2021-03-27 18:53:53,53.0675,76.1036,33.93,88,100,12.95
