City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
172,Abancay,PE,60.82,overcast clouds,-13.6339,-72.8814,Siball Hotel
173,Mansa,IN,74.93,broken clouds,29.9833,75.3833,STARiHOTEL Mansa
174,Bintulu,MY,77.0,scattered clouds,3.1667,113.0333,900 Boutique INN
175,Lompoc,US,70.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
176,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
178,Guiratinga,BR,73.67,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
179,Sampit,ID,74.1,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
181,Ballina,AU,71.6,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
182,Catamarca,AR,62.01,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
184,Helena,US,69.8,clear sky,46.5927,-112.0361,Holiday Inn Express & Suites Helena
185,Salinopolis,BR,77.81,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
186,Levelland,US,71.01,clear sky,33.5873,-102.37799999999999,Holiday Inn Express & Suites Levelland
188,Harper,LR,78.78,broken clouds,4.375,-7.7169,Screensaver
190,Chuy,UY,64.31,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
191,Yeppoon,AU,78.8,scattered clouds,-23.1333,150.7333,Villa Mar Colina
195,Hongjiang,CN,68.58,overcast clouds,27.11,109.9956,洪江大酒店
196,Praia Da Vitoria,PT,60.8,scattered clouds,38.7333,-27.0667,Hotel Branco I
198,Looc,PH,79.97,overcast clouds,12.2605,121.9926,Cummings Highlands
201,Boca Do Acre,BR,73.27,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
202,Obuasi,GH,74.66,scattered clouds,6.206,-1.6619,Mawuli Hotel
203,Acarau,BR,77.63,clear sky,-2.8856,-40.12,castelo pizzaria
208,Port Alfred,ZA,65.37,overcast clouds,-33.5906,26.891,The Halyards Hotel
215,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
217,Bartica,GY,75.2,overcast clouds,6.4,-58.6167,Relax Inn Hotel
218,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
221,Aswan,EG,63.57,clear sky,24.0934,32.907,Nuba Nile
224,Port Elizabeth,ZA,62.6,scattered clouds,-33.918,25.5701,39 On Nile Guest House
231,Cidreira,BR,73.58,scattered clouds,-30.1811,-50.2056,Hotel Castelo
236,Grand-Santi,GF,73.02,heavy intensity rain,4.25,-54.3833,Hotel La Villa Couacou
243,Searcy,US,64.0,clear sky,35.2506,-91.7363,Holiday Inn Express & Suites Searcy
